idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
62,Hasura GraphQL Cloudflare Worker,github.com/nathanwaters/hasura-cloudflare-worker,2018-11-21,2019-06-02,GraphQL,"GraphQL,auth",ES2017,Example for Facebook-based authorization and GraphQL proxy queries with Hasura,,
63,err-table-worker,github.com/danigrant/err-table-worker#err-table-worker,2018-12-16,2019-06-02,,"log,AirTable",ES2017,logs http errors to AirTable,,
64,Wasabi CDN cheap website,github.com/mraerino/cdn-static,2018-11-23,2019-06-02,msc,"static,CDN",TypeScript,serves static website from wasabi.com's cheap cloud storage,,
65,go-worker-server,github.com/nkcmr/go-worker-server,2018-10-28,2019-06-02,,WASM,GoLang,simple way to hook up standard Go HTTP handlers to a Cloudflare Worker,,
66,URL Shortener wtih Zapier & GA,github.com/deens-com/urlshortener,2019-03-27,2019-06-02,,"analytics,app,route",ES2017,advanced URL Shortener running on CloudFlare Workers + Zapier with Remarketing pixels or CTA through Google Tag Manager,,
67,Run Cloudflare Worker scripts locally,github.com/dollarshaveclub/cloudworker,2019-04-21,2019-06-02,local-dev,"tool,local-dev",ES2017,"uses Docker, nice API, includes WASM build support",,
68,Apollo Server Cloudflare & Prisma Concept,gitlab.com/travis-projects/cloudflare-workers-graphql-server,2019-02-28,2019-06-02,GraphQL,GraphQL,ES2015,"uses apollo-server-cloudflare to create a GraphQL server on Cloudflare Workers, and it also uses graphql-request to connect to a Prisma server",,
69,Discount via Country-request,cloudflareworkers.com/#bf2d7801e112740f9bd3db6a0b90c0fe:tutorial.cloudflareworkers.com,2019-02-21,2019-06-02,,localization,ES2017,,blog post,scotch.io/tutorials/serverless-cloudflare-workers-are-pretty-awesome
70,GraphQL on Edge Workers,github.com/cloudflare/workers-graphql-gateway-example,2018-08-01,2019-06-07,GraphQL,"video,GraphQL",ES2017,Workers GraphQL Gateway Example,video demo,youtu.be/E9sDH6ylQc4
71,"Building Workers-KV, Kyle Kloepper ",youtu.be/cxgZUqdHAX8,2019-03-27,2019-06-02,,"video,KV",ES2017,"Meetup talk: overview, history, & 'storage gateway worker'",Into blobpost from Cloudflare,blog.cloudflare.com/building-with-workers-kv/
72,Serverless Meetup with Cloudflare,www.heavybit.com/library/blog/serverless-meetup-with-cloudflare/,2018-10-17,2019-06-02,boss,video,ES2017,several talks describing CfWorkers,cued to examples of CFWorker usage,youtu.be/kGeu2GzyVKw?t=473
73,Wrangler: offiical CLI tool,github.com/cloudflare/wrangler,2019-06-05,2019-06-05,official,"WASM,CLI,tool",Rust,"available via `npm` & `cargo`, can build & deploy JS, Rust, & C/C++ projects via templates",annoucement blog post,blog.cloudflare.com/just-write-code-improving-developer-experience-for-cloudflare-workers/#wrangler-the-official-workers-cli
74,Set Google Analytics Client ID Cookie,gist.github.com/dustinrecko/9f34969250f2e0668d4c4fe4808520a7#file-worker-snippet-js,2019-02-26,2019-06-05,security,"article,analytics,security",ES2015,"Fool Webkit's Intelligent Tracking Prevention,  HTTP Set-Cookie /snippet/",article: Google Analytics ITP 2.1 Prevention ,omr.ruhr/google-analytics-itp-2-1-prevention-http-set-cookie-snippet-182092779d40
75,Serverless JavaScript App Servers,codeburst.io/100-app-servers-for-5-per-month-2560d5d2f46e,2019-03-20,2019-06-02,msc,"article,template,route",ES2017,"app tutorial, includes routing",related: flag a client as malicious,apility.io/2018/03/14/cloudflare-workers-example-apility/
76,GDPR for lazy people: Block all EU users,apility.io/2018/05/25/gdpr-lazy-block-european-users-cloudflare-workers/,2018-05-25,2019-06-02,,"article,localization",ES2017,uses  Apility API badip,,
77,CI/CD pipeline for CfWorkers using Serverless in Azure,medium.com/gettimely/how-to-set-up-ci-cd-pipeline-for-cloudflare-workers-using-serverless-framework-in-azure-devops-aka-1e904e91e130,2018-09-14,2019-06-02,msc,"article,CI/CD",Serverless,walkthough for a code pipeline with Serverless Framework,,
78,Testing Performance Of Cloudflare Workers,medium.com/gaurav-shukla/testing-performance-of-cloudflare-workers-446420c2d269,2019-04-12,2019-06-02,,"article,test",,performance tests for improvements,,
79,stock ticker app for Slack,blog.cloudflare.com/building-a-serverless-slack-bot-using-cloudflare-workers/,2018-08-09,2019-06-02,,"article,app,Slack",ES2017,,,
80,Writing an API at the Edge with Firestore,blog.cloudflare.com/api-at-the-edge-workers-and-firestore/,2019-03-21,2019-06-07,msc,"article,app,GCS",ES2017,uses Google's Cloud Firestore for storage & JWT for authentication,,
81,Diving into Technical SEO,blog.cloudflare.com/diving-into-technical-seo-cloudflare-workers/,2019-03-07,2019-06-02,boss,"article,optmimize,SEO",TypeScript,"modifying incomming & outgoing requests, inject Hreflang tags,, redirects, etc",,
82,Serverless PWA using React,github.com/cloudflare/workers-react-pwa-example,2018-11-23,2019-06-02,boss,"article,ReactJS",ES2017,terraform deploy srcipt included,Cloudflare article builds up example script,blog.cloudflare.com/serverless-pwa-react-cloudflare-workers/
83,Logs from the edge,blog.cloudflare.com/logs-from-the-edge/,2018-11-29,2019-06-02,,"article,log",ES2017,uses Elastic Stack (ELK),,
84,Custom Load Balancing,www.codiva.io/blog/post/custom-load-balancing-with-cloudflare-worker/,2018-06-01,2019-06-02,,"article,loadbalance,localization",ES2015,simple example to send the request to different hosts per country of requester,bug fix post,community.cloudflare.com/t/geographic-routing-and-load-balancing-with-cloudflare-workers/21900/2
85,Official Blog,blog.cloudflare.com/tag/workers/,,2019-06-07,official,,,Cloudflare's blog posts tagged 'worker',,
86,Official Documentation,developers.cloudflare.com/workers/about/,,2019-06-07,official,,,"general docs, includes configurations, Cf KeyValue data store, and recipes",,
87,Awesome Service Workers,github.com/TalAter/awesome-service-workers#awesome-service-workers-,2018-10-31,2019-06-07,related,,ES2015,Cf Service Workers are based on browser SW,,
89,Cloudflare's Worker Forum / BBS,https://community.cloudflare.com/c/developers/workers,2019-06-07,2019-06-07,official,,,offical community forum,,
